lon,lat,preydiv
168329.9,-466109,0.652
218329.9,-466109,0.628
268329.9,-466109,0.631
318329.9,-466109,0.677
368329.9,-466109,0.693
418329.9,-466109,0.689
468329.9,-466109,0.693
518329.9,-466109,0.728
168329.9,-416109,0.597
218329.9,-416109,0.579
268329.9,-416109,0.605
318329.9,-416109,0.643
368329.9,-416109,0.655
418329.9,-416109,0.662
468329.9,-416109,0.689
518329.9,-416109,0.722
168329.9,-366109,0.575
218329.9,-366109,0.56
268329.9,-366109,0.582
318329.9,-366109,0.616
368329.9,-366109,0.633
418329.9,-366109,0.648
468329.9,-366109,0.693
518329.9,-366109,0.71
168329.9,-316109,0.557
218329.9,-316109,0.554
268329.9,-316109,0.565
318329.9,-316109,0.595
368329.9,-316109,0.622
418329.9,-316109,0.642
468329.9,-316109,0.7
518329.9,-316109,0.71
168329.9,-266109,0.533
218329.9,-266109,0.555
268329.9,-266109,0.551
318329.9,-266109,0.575
368329.9,-266109,0.61
418329.9,-266109,0.639
468329.9,-266109,0.699
518329.9,-266109,0.703
168329.9,-216109,0.512
218329.9,-216109,0.56
268329.9,-216109,0.547
318329.9,-216109,0.556
368329.9,-216109,0.611
418329.9,-216109,0.652
468329.9,-216109,0.691
518329.9,-216109,NA
168329.9,-166109,0.503
218329.9,-166109,0.561
268329.9,-166109,0.546
318329.9,-166109,0.544
368329.9,-166109,0.627
418329.9,-166109,0.681
468329.9,-166109,0.657
518329.9,-166109,NA
168329.9,-116109,0.513
218329.9,-116109,0.559
268329.9,-116109,0.547
318329.9,-116109,0.543
368329.9,-116109,0.642
418329.9,-116109,NA
468329.9,-116109,NA
518329.9,-116109,NA
168329.9,-66109,0.555
218329.9,-66109,0.545
268329.9,-66109,0.559
318329.9,-66109,0.55
368329.9,-66109,0.633
418329.9,-66109,0.691
468329.9,-66109,NA
518329.9,-66109,NA
