"x","y","capelin","arccod","nsandlance"
-1031670,-1016109,0,0,0
-1031670,-1066109,0,0,0
-1031670,-1116109,0,0,0
-1031670,-116109,0,0,0
-1031670,-1166109,0,0,0
-1031670,-1216109,0,0,0
-1031670,-1266109,0,0,0
-1031670,-1316109,0,0,0
-1031670,-1366109,0,0,0
-1031670,-1416109,0,0,0
-1031670,-1466109,0,0,0
-1031670,-1516109,0,0,0
-1031670,-1566109,0,0,0
-1031670,-16109,0,0,0
-1031670,-166109,0,0,0
-1031670,-216109,0,0,0
-1031670,-266109,0,0,0
-1031670,-316109,0,0,0
-1031670,-366109,0,0,0
-1031670,-416109,0,0,0
-1031670,-466109,0,0,0
-1031670,-516109,0,0,0
-1031670,-566109,0,0,0
-1031670,-616109,0,0,0
-1031670,-66109,0,0,0
-1031670,-666109,0,0,0
-1031670,-716109,0,0,0
-1031670,-766109,0,0,0
-1031670,-816109,0,0,0
-1031670,-866109,0,0,0
-1031670,-916109,0,0,0
-1031670,-966109,0,0,0
-1031670,1033891,25.92012,0,0
-1031670,1083891,15.61807,0,0
-1031670,1133891,87.61202,0,0
-1031670,1183891,67.98613,0,0
-1031670,1233891,4.57486,0,0
-1031670,1283891,0,0,0
-1031670,1333891,0,0,0
-1031670,133891,0,0,0
-1031670,1383891,0,0,0
-1031670,1433891,0,0,0
-1031670,1483891,0,0,0
-1031670,1533891,0,0,0
-1031670,1583891,0,0,0
-1031670,1633891,0,0,0
-1031670,1683891,9.649199,0,0
-1031670,1733891,6.918357,0,0
-1031670,1783891,0,0,0
-1031670,1833891,0,0,0
-1031670,183891,0,0,0
-1031670,233891,0,0,0
-1031670,283891,0,0,0
-1031670,333891,0,0,0
-1031670,33891,0,0,0
-1031670,383891,0,0,0
-1031670,433891,0,0,0
-1031670,483891,0,0,0
-1031670,533891,0,0,0
-1031670,583891,0,0,0
-1031670,633891,0,0,0
-1031670,683891,0,0,0
-1031670,733891,0,0,0
-1031670,783891,0,0,0
-1031670,833891,0,0,0
-1031670,83891,0,0,0
-1031670,883891,0,0,0
-1031670,933891,0,0,0
-1031670,983891,0,0,0
-1081670,-1016109,0,0,0
-1081670,-1066109,0,0,0
-1081670,-1116109,0,0,0
-1081670,-116109,0,0,0
-1081670,-1166109,0,0,0
-1081670,-1216109,0,0,0
-1081670,-1266109,0,0,0
-1081670,-1316109,0,0,0
-1081670,-1366109,0,0,0
-1081670,-1416109,0,0,0
-1081670,-1466109,0,0,0
-1081670,-1516109,0,0,0
-1081670,-16109,0,0,0
-1081670,-166109,0,0,0
-1081670,-216109,0,0,0
-1081670,-266109,0,0,0
-1081670,-316109,0,0,0
-1081670,-366109,0,0,0
-1081670,-416109,0,0,0
-1081670,-466109,0,0,0
-1081670,-516109,0,0,0
-1081670,-566109,0,0,0
-1081670,-616109,0,0,0
-1081670,-66109,0,0,0
-1081670,-666109,0,0,0
-1081670,-716109,0,0,0
-1081670,-766109,0,0,0
-1081670,-816109,0,0,0
-1081670,-866109,0,0,0
-1081670,-916109,0,0,0
-1081670,-966109,0,0,0
-1081670,1033891,1.32667,0,0
-1081670,1083891,73.83615,0,0
-1081670,1133891,121.6468,0,0
-1081670,1183891,87.75342,0,0
-1081670,1233891,1.596489,0,0
-1081670,1283891,12.29869,0,0
-1081670,1333891,0,0,0
