"","x_","y_","t_","dt"
"1",357940.8739,-368949.625,2012-10-28 17:00:00,1H 0M 0S
"2",358597.037544516,-369623.196033462,2012-10-28 18:00:00,1H 0M 0S
"3",363024.168572213,-373144.597042261,2012-10-28 19:00:00,1H 0M 0S
"4",368814.369715562,-384783.494521929,2012-10-28 20:00:00,1H 0M 0S
"5",375959.362433717,-375956.265141832,2012-10-28 21:00:00,1H 0M 0S
"6",354982.055010319,-349433.137867672,2012-10-28 22:00:00,1H 0M 0S
"7",349185.042921261,-343008.766832915,2012-10-28 23:00:00,1H 0M 0S
"8",354372.571871308,-346364.145410614,2012-10-29 00:00:00,1H 0M 0S
"9",359944.087660305,-336081.65463161,2012-10-29 01:00:00,1H 0M 0S
"10",363489.749015185,-335078.381183949,2012-10-29 02:00:00,1H 0M 0S
"11",363169.337377893,-334460.272194565,2012-10-29 03:00:00,1H 0M 0S
"12",366922.067198417,-331910.229090712,2012-10-29 04:00:00,1H 0M 0S
"13",384121.745270737,-353859.256588052,2012-10-29 05:00:00,1H 0M 0S
"14",388562.728630344,-358032.863006397,2012-10-29 06:00:00,1H 0M 0S
"15",387569.301033424,-365646.629679007,2012-10-29 07:00:00,1H 0M 0S
"16",390382.151536831,-376059.869514441,2012-10-29 08:00:00,1H 0M 0S
"17",392865.677173978,-376202.951578877,2012-10-29 09:00:00,1H 0M 0S
"18",405900.894285795,-381656.021146831,2012-10-29 10:00:00,1H 0M 0S
"19",409222.12615114,-381646.843794086,2012-10-29 11:00:00,1H 0M 0S
"20",416267.957649855,-376243.101878389,2012-10-29 12:00:00,1H 0M 0S
"21",403280.336612333,-387733.537841298,2012-10-29 13:00:00,1H 0M 0S
"22",401102.943597737,-390718.597138354,2012-10-29 14:00:00,1H 0M 0S
"23",394351.967875589,-397832.326262507,2012-10-29 15:00:00,1H 0M 0S
"24",403958.575008079,-396990.345109383,2012-10-29 16:00:00,1H 0M 0S
"25",403533.023834504,-395658.252151242,2012-10-29 17:00:00,1H 0M 0S
"26",406250.651072464,-395792.593825381,2012-10-29 18:00:00,1H 0M 0S
"27",415851.488251443,-397803.576421482,2012-10-29 19:00:00,1H 0M 0S
"28",426996.997195715,-383758.27166978,2012-10-29 20:00:00,1H 0M 0S
"29",425944.052113244,-382197.516190271,2012-10-29 21:00:00,1H 0M 0S
"30",424326.306821276,-382935.287174851,2012-10-29 22:00:00,1H 0M 0S
"31",421608.797074124,-382608.227476501,2012-10-29 23:00:00,1H 0M 0S
"32",414903.991350463,-383464.919647588,2012-10-30 00:00:00,1H 0M 0S
"33",411752.44151885,-389173.047338529,2012-10-30 01:00:00,1H 0M 0S
"34",396200.171399445,-388376.714360093,2012-10-30 02:00:00,1H 0M 0S
"35",386252.922738853,-391467.401068543,2012-10-30 03:00:00,1H 0M 0S
"36",377519.071285226,-401410.097115151,2012-10-30 04:00:00,1H 0M 0S
