"","x_","y_","t_","dt"
"1",357940.8739,-368949.625,2012-10-28 17:00:00,1H 0M 0S
"2",354388.774480403,-370472.148185847,2012-10-28 18:00:00,1H 0M 0S
"3",370199.273353011,-368756.323869099,2012-10-28 19:00:00,1H 0M 0S
"4",380804.237711692,-408310.170876897,2012-10-28 20:00:00,1H 0M 0S
"5",365970.733958311,-403556.617711061,2012-10-28 21:00:00,1H 0M 0S
"6",348585.786229645,-382387.008120918,2012-10-28 22:00:00,1H 0M 0S
"7",348637.715944501,-382236.913377507,2012-10-28 23:00:00,1H 0M 0S
"8",351058.955936892,-380247.406870406,2012-10-29 00:00:00,1H 0M 0S
"9",370188.868298165,-367818.904062213,2012-10-29 01:00:00,1H 0M 0S
"10",408954.022669597,-382878.83750671,2012-10-29 02:00:00,1H 0M 0S
"11",406445.969817257,-375850.498070571,2012-10-29 03:00:00,1H 0M 0S
"12",391529.271059293,-393464.746316445,2012-10-29 04:00:00,1H 0M 0S
"13",380114.006434708,-398605.563514814,2012-10-29 05:00:00,1H 0M 0S
"14",373782.406495188,-396543.195171743,2012-10-29 06:00:00,1H 0M 0S
"15",373705.443660782,-397710.005031179,2012-10-29 07:00:00,1H 0M 0S
"16",374333.083141835,-397710.931353102,2012-10-29 08:00:00,1H 0M 0S
"17",375196.776580512,-396788.297227705,2012-10-29 09:00:00,1H 0M 0S
"18",372227.319130247,-391197.640574221,2012-10-29 10:00:00,1H 0M 0S
"19",352339.461748354,-393790.156946486,2012-10-29 11:00:00,1H 0M 0S
"20",345154.950483837,-402385.782077126,2012-10-29 12:00:00,1H 0M 0S
"21",350102.476304661,-402534.529980061,2012-10-29 13:00:00,1H 0M 0S
"22",351320.01911019,-398441.890608252,2012-10-29 14:00:00,1H 0M 0S
"23",351537.26083949,-398121.275497746,2012-10-29 15:00:00,1H 0M 0S
"24",366048.959770285,-395970.722720639,2012-10-29 16:00:00,1H 0M 0S
"25",372375.317268348,-408548.782121861,2012-10-29 17:00:00,1H 0M 0S
"26",372604.918573679,-407855.985237452,2012-10-29 18:00:00,1H 0M 0S
"27",361399.037336584,-415036.6092441,2012-10-29 19:00:00,1H 0M 0S
"28",363747.113652582,-409170.199516165,2012-10-29 20:00:00,1H 0M 0S
"29",345667.334239148,-420662.917960889,2012-10-29 21:00:00,1H 0M 0S
"30",344317.043284238,-422203.75952101,2012-10-29 22:00:00,1H 0M 0S
"31",334889.597903752,-421732.096719019,2012-10-29 23:00:00,1H 0M 0S
"32",353620.721651708,-423178.452324125,2012-10-30 00:00:00,1H 0M 0S
"33",365313.31905635,-417785.58949205,2012-10-30 01:00:00,1H 0M 0S
"34",362610.885465143,-420107.981679066,2012-10-30 02:00:00,1H 0M 0S
"35",355565.223271213,-411265.227211706,2012-10-30 03:00:00,1H 0M 0S
"36",360272.512513344,-399250.198611839,2012-10-30 04:00:00,1H 0M 0S
"37",359258.954752891,-396808.184060691,2012-10-30 05:00:00,1H 0M 0S
"38",364461.796627144,-384607.294446627,2012-10-30 06:00:00,1H 0M 0S
"39",378312.458347078,-381958.578453775,2012-10-30 07:00:00,1H 0M 0S
"40",385317.424284052,-399466.060206787,2012-10-30 08:00:00,1H 0M 0S
"41",385912.993749567,-412653.888527612,2012-10-30 09:00:00,1H 0M 0S
"42",390428.765426615,-411513.591054809,2012-10-30 10:00:00,1H 0M 0S
"43",392485.981307421,-411494.563222109,2012-10-30 11:00:00,1H 0M 0S
"44",391779.923368672,-405722.596676683,2012-10-30 12:00:00,1H 0M 0S
"45",385597.766652483,-390387.690781769,2012-10-30 13:00:00,1H 0M 0S
"46",380961.145834085,-376029.393646427,2012-10-30 14:00:00,1H 0M 0S
"47",383867.659955998,-369060.893617807,2012-10-30 15:00:00,1H 0M 0S
"48",386598.849885563,-370328.989542602,2012-10-30 16:00:00,1H 0M 0S
"49",378659.709575754,-348948.221759624,2012-10-30 17:00:00,1H 0M 0S
"50",375138.31438047,-346556.338498691,2012-10-30 18:00:00,1H 0M 0S
"51",374441.98427243,-343351.386360528,2012-10-30 19:00:00,1H 0M 0S
"52",374515.333411003,-335524.70578237,2012-10-30 20:00:00,1H 0M 0S
"53",382665.888124177,-330260.770496969,2012-10-30 21:00:00,1H 0M 0S
"54",387473.622727393,-340621.286374938,2012-10-30 22:00:00,1H 0M 0S
"55",385779.704984489,-341704.969651101,2012-10-30 23:00:00,1H 0M 0S
"56",397563.648303528,-333973.344591503,2012-10-31 00:00:00,1H 0M 0S
"57",397562.441435526,-333970.970509412,2012-10-31 01:00:00,1H 0M 0S
"58",391161.078619199,-350792.484057709,2012-10-31 02:00:00,1H 0M 0S
"59",391695.466126155,-351404.250989976,2012-10-31 03:00:00,1H 0M 0S
"60",394628.924049297,-353811.061507119,2012-10-31 04:00:00,1H 0M 0S
"61",414754.599148351,-339814.686989006,2012-10-31 05:00:00,1H 0M 0S
"62",414637.981566889,-340355.684547729,2012-10-31 06:00:00,1H 0M 0S
"63",406634.607490223,-334650.537132728,2012-10-31 07:00:00,1H 0M 0S
"64",419141.861153036,-339388.971113672,2012-10-31 08:00:00,1H 0M 0S
"65",417660.068182143,-342911.230414429,2012-10-31 09:00:00,1H 0M 0S
"66",418251.22561281,-343869.533938322,2012-10-31 10:00:00,1H 0M 0S
"67",437858.816696594,-341046.212462348,2012-10-31 11:00:00,1H 0M 0S
"68",437347.898893052,-343484.772689584,2012-10-31 12:00:00,1H 0M 0S
"69",442934.902820117,-342524.284825566,2012-10-31 13:00:00,1H 0M 0S
"70",443885.78414667,-341739.973341105,2012-10-31 14:00:00,1H 0M 0S
"71",463953.894253548,-340413.32986914,2012-10-31 15:00:00,1H 0M 0S
"72",471324.547535097,-346997.783182898,2012-10-31 16:00:00,1H 0M 0S
"73",465408.411727781,-350090.736718953,2012-10-31 17:00:00,1H 0M 0S
"74",454584.582283975,-342263.716922943,2012-10-31 18:00:00,1H 0M 0S
"75",446200.799184722,-338193.206279344,2012-10-31 19:00:00,1H 0M 0S
"76",456556.200494529,-335527.119247061,2012-10-31 20:00:00,1H 0M 0S
"77",457101.361529637,-336765.313016651,2012-10-31 21:00:00,1H 0M 0S
"78",449116.540037738,-338375.371898779,2012-10-31 22:00:00,1H 0M 0S
"79",448118.364469262,-339398.478035422,2012-10-31 23:00:00,1H 0M 0S
"80",439061.902909395,-347149.000078005,2012-11-01 00:00:00,1H 0M 0S
"81",442727.276493528,-339950.995347249,2012-11-01 01:00:00,1H 0M 0S
"82",426916.135444005,-309988.248242212,2012-11-01 02:00:00,1H 0M 0S
"83",416500.554749069,-310122.73095416,2012-11-01 03:00:00,1H 0M 0S
"84",414100.856368612,-301225.439452546,2012-11-01 04:00:00,1H 0M 0S
"85",412259.839789799,-298842.269827734,2012-11-01 05:00:00,1H 0M 0S
"86",412692.224897486,-300144.607006042,2012-11-01 06:00:00,1H 0M 0S
"87",409677.603847259,-302842.137915446,2012-11-01 07:00:00,1H 0M 0S
"88",425637.786309353,-324169.308672048,2012-11-01 08:00:00,1H 0M 0S
"89",433311.455936809,-339592.986569757,2012-11-01 09:00:00,1H 0M 0S
"90",444280.07220454,-348482.481187195,2012-11-01 10:00:00,1H 0M 0S
"91",446264.126968489,-351664.379955543,2012-11-01 11:00:00,1H 0M 0S
"92",448294.18122918,-349839.428595866,2012-11-01 12:00:00,1H 0M 0S
"93",451176.372957429,-351033.292982989,2012-11-01 13:00:00,1H 0M 0S
"94",443156.863704391,-355066.51823006,2012-11-01 14:00:00,1H 0M 0S
"95",437416.324226971,-358068.670407681,2012-11-01 15:00:00,1H 0M 0S
"96",435650.277760842,-360150.316602669,2012-11-01 16:00:00,1H 0M 0S
"97",456675.367725165,-396541.208017703,2012-11-01 17:00:00,1H 0M 0S
"98",476142.647573215,-402373.701689442,2012-11-01 18:00:00,1H 0M 0S
"99",484041.899097004,-412122.592685373,2012-11-01 19:00:00,1H 0M 0S
"100",484403.042614222,-413052.607600777,2012-11-01 20:00:00,1H 0M 0S
"101",489383.625165498,-424813.634231444,2012-11-01 21:00:00,1H 0M 0S
"102",490740.945399402,-427310.684412116,2012-11-01 22:00:00,1H 0M 0S
"103",490344.031120014,-427347.881747493,2012-11-01 23:00:00,1H 0M 0S
"104",495951.232933816,-404043.121920806,2012-11-02 00:00:00,1H 0M 0S
"105",491654.05979193,-388933.231613963,2012-11-02 01:00:00,1H 0M 0S
"106",472724.028264228,-394673.043093402,2012-11-02 02:00:00,1H 0M 0S
"107",470056.140699313,-393932.765644751,2012-11-02 03:00:00,1H 0M 0S
"108",478075.642879391,-394229.656914066,2012-11-02 04:00:00,1H 0M 0S
"109",487208.620663512,-388012.191080763,2012-11-02 05:00:00,1H 0M 0S
"110",489433.122307292,-383887.010500705,2012-11-02 06:00:00,1H 0M 0S
"111",489440.59053263,-376628.860124153,2012-11-02 07:00:00,1H 0M 0S
"112",479500.816958324,-365942.743221584,2012-11-02 08:00:00,1H 0M 0S
"113",477948.98816642,-354605.553666576,2012-11-02 09:00:00,1H 0M 0S
"114",474408.535236071,-362348.476688994,2012-11-02 10:00:00,1H 0M 0S
"115",471691.359014983,-363721.162525756,2012-11-02 11:00:00,1H 0M 0S
"116",471556.916763953,-349317.235416202,2012-11-02 12:00:00,1H 0M 0S
"117",472709.703556188,-345365.709558248,2012-11-02 13:00:00,1H 0M 0S
"118",464334.20972455,-337670.637739062,2012-11-02 14:00:00,1H 0M 0S
"119",476264.164215907,-332345.101927277,2012-11-02 15:00:00,1H 0M 0S
"120",479143.476250915,-328983.337742254,2012-11-02 16:00:00,1H 0M 0S
"121",481781.062642053,-325224.080509314,2012-11-02 17:00:00,1H 0M 0S
"122",464631.702213636,-317050.986128437,2012-11-02 18:00:00,1H 0M 0S
"123",485492.165632093,-332286.27478794,2012-11-02 19:00:00,1H 0M 0S
"124",483546.883493535,-334357.36002888,2012-11-02 20:00:00,1H 0M 0S
"125",492730.204777812,-333678.366483865,2012-11-02 21:00:00,1H 0M 0S
"126",493309.861276169,-332334.813255158,2012-11-02 22:00:00,1H 0M 0S
"127",491536.671356807,-329012.641915139,2012-11-02 23:00:00,1H 0M 0S
